Dateiname,Bild,Erkannte Objekte
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/dd8fff79059fa026df5202e92cf4c786.jpg,Bild 913,"factory worker, agricultural labourer, military"
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/ddc774f84575a739b52e5f171584dd10.jpg,Bild 914,"agricultural labourer, headscarf"
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/dde8fe4813a3834c2ae0c5ed389e0874.jpg,Bild 915,agricultural labourer
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/ddeb300dec7a804ab126eb8fbd38f098.jpg,Bild 916,"agricultural labourer, agricultural labourer"
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/de0a36a5450b2d8fe6440c488f2bb0ad.jpg,Bild 917,agricultural labourer
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/deb79a157d8f7c02e7af2f8417f91b12.jpg,Bild 918,factory worker
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/df2fd7622342ff16b675cbb372aa6230.jpg,Bild 919,factory worker
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/df97e825ba3eaec60580a7692c9c0341.jpg,Bild 920,agricultural labourer
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/e02813da1a4ffeea5c6c949f259bde58.jpg,Bild 921,"agricultural labourer, headscarf"
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/e04dfd3dc14def63caf6275724e727b2.jpg,Bild 922,"agricultural labourer, headscarf"
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/e07cd4a7ca00199bbe3ed3d5c4d4a77b.jpg,Bild 923,"agricultural labourer, agricultural labourer, agricultural labourer, weapon"
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/e0adca6d8ae20d7003e80a1b23ba199b.jpg,Bild 924,"agricultural labourer, agricultural labourer, hammer"
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/e1209679850cf7fd1cbe1f67295af913.jpg,Bild 925,agricultural labourer
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/e1264261102c6bbd9261e52d20ee02a0.jpg,Bild 926,"factory worker, factory worker, agricultural labourer"
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/e1813a46603f3e0c173ee92701f62479.jpg,Bild 927,agricultural labourer
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/e20232f1d6db14a211a9fdabb3b7959f.jpg,Bild 928,agricultural labourer
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/e26d074474f6199e6dbb66468582e54d.jpg,Bild 929,"agricultural labourer, headscarf"
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/e327c11855ffa320b032f0218f8a445f.jpg,Bild 930,
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/e348080ad33fd8bc3e9576afc2ee4aba.jpg,Bild 931,
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/e3649190855595a19c83d664e4b4dcee.jpg,Bild 932,agricultural labourer
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/e3c7506033d8ec0bd550d180948a1eb5.jpg,Bild 933,factory worker
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/e3fb97163e423792d2e38f912ba423af.jpg,Bild 934,"agricultural labourer, agricultural labourer, factory worker, agricultural labourer, headscarf"
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/e4357aecbc8b5b78c4cdcb35e2d03949.jpg,Bild 935,"agricultural labourer, factory worker"
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/e43ca5837fac44c920873a28abc36992.jpg,Bild 936,
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/e4538cc0bd6a6865289d1c26145a503f.jpg,Bild 937,
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/e45df6fa2d661920849833e528012b68.jpg,Bild 938,military
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/e4e31c4d23bc33cf5581cf118b9f3808.jpg,Bild 939,"agricultural labourer, agricultural labourer"
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/e4f23439649f0ea0ac6bb6c8170b6506.jpg,Bild 940,
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/e519119524e4754bbcf3f8f83778111e.jpg,Bild 941,flag
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/e5721fd9cd578aaf319f4f5f66cc69ef.jpg,Bild 942,"agricultural labourer, agricultural labourer"
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/e6058b07a3b60b7d515e99020c57b9bc.jpg,Bild 943,agricultural labourer
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/e6b9e2de30471c4d9d2073b0528e17fd.jpg,Bild 944,military
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/e81c257ebd0d3e7641737a80a9f227fd.jpg,Bild 945,agricultural labourer
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/e88bd91a3359a7aa76f8b94928b6515d.jpg,Bild 946,"agricultural labourer, agricultural labourer, agricultural labourer, agricultural labourer, agricultural labourer"
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/e8a5bf975baf6cd726370025f145aec0.jpg,Bild 947,"factory worker, agricultural labourer"
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/e8a7efbc0defff787f324a7556f88569.jpg,Bild 948,"agricultural labourer, agricultural labourer, factory worker"
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/e8f9529962d5d740dc3767c63620151c.jpg,Bild 949,"agricultural labourer, factory worker"
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/e95a5e9b5026793fb7c3428e61043685.jpg,Bild 950,agricultural labourer
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/e96108aa493cad676287580d87265212.jpg,Bild 951,"crane, factory worker, agricultural labourer"
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/e9db4f0c23c9387856129ccc69f716bb.jpg,Bild 952,agricultural labourer
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/ea140973e60092c8c1141d97e15be6d1.jpg,Bild 953,"factory worker, flag"
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/ea23a9e3e72b1645f6a862b7c87fff15.jpg,Bild 954,"star, agricultural labourer, flag, flag"
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/ea28412505c78cb624a2111804cdfb8e.jpg,Bild 955,
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/ea36e0a777c340fabc02f523a639b2a4.jpg,Bild 956,"factory worker, weapon"
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/eabcaffe95244aeed1345d510c8c855b.jpg,Bild 957,"agricultural labourer, flag, agricultural labourer"
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/eb2bff857fcb7644277ca8061f436f4d.jpg,Bild 958,"horse, agricultural labourer, flag, machinery, agricultural labourer, weapon, headscarf"
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/eb2e5cd989f23a3c0a6cfb5cd571dfbf.jpg,Bild 959,agricultural labourer
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/eb68dfc60a89dbcfd871c5fdce63477f.jpg,Bild 960,agricultural labourer
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/eb7419681ee6c5155382d29e7ccad055.jpg,Bild 961,
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/eb958571dab3e547a4c04ba5ece2036d.jpg,Bild 962,agricultural labourer
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/ec316532d6f6e5d65e50b60c93a8f1ce.jpg,Bild 963,star
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/ec9184cdbc42bcd488ae2b16b6fcfc27.jpg,Bild 964,agricultural labourer
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/ecbebcf388d27650bf81d95506c9bf0b.jpg,Bild 965,
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/ecec9be3e66c7e4552d97653ed180243.jpg,Bild 966,agricultural labourer
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/ed2278aabd8b0cd60a8e931bbd2dcb16.jpg,Bild 967,factory worker
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/ed686bbc23ab2918b59ef3bbffc15fb7.jpg,Bild 968,
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/edd4af855a4e21c6fc0f3aff8e83d074.jpg,Bild 969,
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/ede80cc3ba0729bcb445c0cca7fee9d9.jpg,Bild 970,agricultural labourer
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/ee33bd9e39b371b0e554b75a48df8c1e.jpg,Bild 971,"agricultural labourer, agricultural labourer, sky, agricultural labourer"
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/ee53aa6458ce018b2dc02c1ac57d7049.jpg,Bild 972,"agricultural labourer, agricultural labourer"
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/ee58f01bc0b4a592c190702a0be279f0.jpg,Bild 973,flag
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/eeabeeed8728d6b076b08d843df31168.jpg,Bild 974,military
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/ef5e74fa6df7f742901c2680054c6cc2.jpg,Bild 975,
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/efa92d15bc60f1bdfb2d9bbe7791a9bf.jpg,Bild 976,"factory worker, factory worker, headscarf"
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/f01268df37d3a0ac59f60a334c330023.jpg,Bild 977,"headscarf, agricultural labourer, headscarf, headscarf, sky, agricultural labourer"
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/f16c9a8cca8e836de0d98610b1f38498.jpg,Bild 978,
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/f1b6bf267c2e36c5a24d908142f1aa9e.jpg,Bild 979,factory worker
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/f1c50bcc41961e7896a910a8e3a85476.jpg,Bild 980,factory worker
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/f28b1d30416ce79b4663931d454c6bc9.jpg,Bild 981,"agricultural labourer, agricultural labourer, factory worker"
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/f296188ce42a4601e0cf3913e13fa8ce.jpg,Bild 982,"agricultural labourer, agricultural labourer"
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/f2a492de9da74171328da958272b0a2a.jpg,Bild 983,"factory worker, agricultural labourer"
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/f2ca6748f6d2263c70a48728d8e1e5f1.jpg,Bild 984,"factory worker, crane"
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/f2e6e14e8684522bf39d8ce0c07d9d30.jpg,Bild 985,
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/f2ff926921b90ec4cde93d568126f0af.jpg,Bild 986,agricultural labourer
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/f30e04aa6f851f0d1d077675fedcab9a.jpg,Bild 987,
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/f369df0fb1f389a1ff41d46c09ba82dd.jpg,Bild 988,"weapon, factory worker"
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/f37517ba9a1f7459053d0da4a4796144.jpg,Bild 989,"crane, crane, crane, crane"
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/f377d09b8e74d62899143cb34171a736.jpg,Bild 990,
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/f4a21cda536e022207b3dbec84d64b49.jpg,Bild 991,"wheat, agricultural labourer, grass"
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/f4ab707fb53da7d7d2d24e8f8db7d99e.jpg,Bild 992,factory worker
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/f4c0c7b5ea1a8d5d05f627423507d7a9.jpg,Bild 993,"factory worker, sky, sky"
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/f4d13a97900c79666526673f551eeb03.jpg,Bild 994,weapon
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/f4dca32746f3de8c993baa836e117a60.jpg,Bild 995,"agricultural labourer, agricultural labourer, agricultural labourer, agricultural labourer, agricultural labourer, sky, flag"
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/f54ed123752359631dec93e6ac705866.jpg,Bild 996,"agricultural labourer, agricultural labourer"
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/f580bd727daf91ea8975a55f5a3ff274.jpg,Bild 997,agricultural labourer
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/f5a0ee1482028ae322698455b4b306d9.jpg,Bild 998,
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/f5b5cc0ec5b4e88634fb7799006d982f.jpg,Bild 999,factory worker
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/f5fcdc643750ed36367a21396f44972c.jpg,Bild 1000,"agricultural labourer, headscarf"
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/f60bb73883ec0b546dd52633b6b32628.jpg,Bild 1001,"office worker, weapon"
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/f615afc114ba3393cf12321dbe866448.jpg,Bild 1002,"factory worker, agricultural labourer"
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/f63a7be179638cd059c50ed67aae342c.jpg,Bild 1003,agricultural labourer
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/f659a89f47efdc063ee574f70a2f3aba.jpg,Bild 1004,"factory worker, plane"
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/f65bee3933d0d0b753f8ef758b2a9840.jpg,Bild 1005,sky
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/f7290e39eba38292a3028fd1f7f0f409.jpg,Bild 1006,
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/f798d92a4a7337fd690e25dc8ce486b6.jpg,Bild 1007,"agricultural labourer, agricultural labourer, flag"
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/f79b4bd0fa7c4eb25fd308ed1774d5bb.jpg,Bild 1008,"agricultural labourer, factory worker, headscarf"
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/f7d34cd623169bc41860170628d279cd.jpg,Bild 1009,factory worker
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/f7dfe64b772fd9b35a62ee44bc910f2b.jpg,Bild 1010,"agricultural labourer, factory worker, agricultural labourer"
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/f81fa7d770306aa781bba16644b12120.jpg,Bild 1011,"star, flag, star, agricultural labourer, factory worker"
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/f83453a4c08125eb6bb58d98c3a1bebe.jpg,Bild 1012,"agricultural labourer, agricultural labourer, agricultural labourer"
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/f89000496162430f6f35f160de871ea5.jpg,Bild 1013,
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/f8d90c3b56de4120ad890ab603587311.jpg,Bild 1014,"agricultural labourer, agricultural labourer, factory worker"
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/f8fcb6d6fe177b12e1f49b4c7caec94a.jpg,Bild 1015,
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/f95a79c85715e1cfcc38afdbc48f524e.jpg,Bild 1016,weapon
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/f9c1936ab7cadfe96e2ee7566cb41e74.jpg,Bild 1017,"agricultural labourer, headscarf, agricultural labourer"
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/fa25b5db24d6f274bd5497019ed454ef.jpg,Bild 1018,"agricultural labourer, factory worker"
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/fa93a3f23b786055b1b71e75bffeb57a.jpg,Bild 1019,"crane, factory worker, factory worker"
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/fa9f78d23edd81f14c6650ba3ab9fa09.jpg,Bild 1020,
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/fb32f7b21863110cf0c054a526d2d2c0.jpg,Bild 1021,"agricultural labourer, agricultural labourer"
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/fb64ab6267b316516a9e5eec219e5df6.jpg,Bild 1022,agricultural labourer
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/fb6e04e58732ac364cf377a9f446074e.jpg,Bild 1023,factory worker
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/fb7bb56d3ccfa0d9be903619a011d1a3.jpg,Bild 1024,
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/fbd3ca9e4441e277d6b6e3776c6b2d65.jpg,Bild 1025,"agricultural labourer, agricultural labourer"
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/fbe34c9e6338ad79cf1d9a0e9be53025.jpg,Bild 1026,
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/fc1f1e6fc5f01b9bf15efb191a6e4447.jpg,Bild 1027,agricultural labourer
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/fc3e5df5d714556f87d3919e4ed90a7f.jpg,Bild 1028,"factory worker, agricultural labourer"
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/fc46db991b76b126a04c43733fcf108c.jpg,Bild 1029,
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/fc4b3669ca084f3f298e716d7d941c51.jpg,Bild 1030,"agricultural labourer, crane, flag"
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/fc7954c362563c820afb21858108580a.jpg,Bild 1031,"agricultural labourer, headscarf"
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/fc801eda045c35d8b57ceb6b1958145b.jpg,Bild 1032,agricultural labourer
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/fc9ef9d600d0e60e75c2f38de23f0c0f.jpg,Bild 1033,"agricultural labourer, agricultural labourer, agricultural labourer"
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/fce5408783d1dd5941c7a82998310554.jpg,Bild 1034,"agricultural labourer, agricultural labourer, agricultural labourer"
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/fcf36cbe219dce3385acc7a8b3575bab.jpg,Bild 1035,"agricultural labourer, agricultural labourer, headscarf, headscarf"
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/fcf4871378ec05fcb354b7950a3f8aac.jpg,Bild 1036,"factory worker, factory worker, factory worker"
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/fd0fb0279baa54a4683f20cc83803c4a.jpg,Bild 1037,"agricultural labourer, sky, agricultural labourer"
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/fd1b9324447cbeb624d84736b48ffeda.jpg,Bild 1038,factory worker
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/fd93302eed8069e3fff8ac0fe98fdd1b.jpg,Bild 1039,agricultural labourer
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/fdab11c6c6b5c76978e8b94e0a805f52.jpg,Bild 1040,"weapon, flag"
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/fe5d5144dd5833b9713b196e0abd88ae.jpg,Bild 1041,agricultural labourer
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/fe9a2f979236740dfe5dc147f3c482eb.jpg,Bild 1042,"agricultural labourer, agricultural labourer"
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/fed977217f5ffd0534064d0ef64d0ba3.jpg,Bild 1043,"sky, agricultural labourer"
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/fedb29743f5c385fc27207f6d088fe53.jpg,Bild 1044,"factory worker, agricultural labourer, flag, factory worker"
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/ff70b2583859d462d4a1914e62d0201a.jpg,Bild 1045,factory worker
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/ff7d71a9820a0f8378adcbbab5374167.jpg,Bild 1046,
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/ffbffd635191e75ca89962b9170153ea.jpg,Bild 1047,agricultural labourer
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/ffeaa2dbcbad8a6a5664e1acd73abfae.jpg,Bild 1048,"plane, plane, plane, plane, hammer, plane, plane, hammer, plane, plane, plane, plane"
